Parada,Eje_x,Eje_y
Vigo,105,238
A Coruña,117,264
Bilbao,215,229
Madrid,184,151
Valladolid,176,187
Zaragoza,253,165
Barcelona,318,143
Lisboa,75,150
Andorra,313,180
Toulose,312,220
Bordeaux,276,259
Marseille,390,185
Lyon,387,260
Paris,354,360
Mónaco,436,190
Londres,329,450
Glasgow,292,600
Bruselas,406,412
Luxemburgo,418,377
Berna,445,285
Múnich,540,315
Cardiff,273,468
Mónaco,436,188
Milán,499,230
Roma,572,106
Venecia,543,225
Nápoles,622,65
Amsterdam,428,470
Colonia,457,429
Hamburgo,513,495
Copenhague,562,547
Berlín,588,449
Praga,597,375
Bratislava,657,310
Viena,634,314
Ljubljana,600,244
Zagreb,630,764
Sarajevo,682,179
Budapest,691,290
Varsovia,726,440
Belgrado,726,216
Skopje,758,122
Sofía,793,150
Bucarest,848,212
Tirana,718,104
Atenas,800,27
Kisinev,896,301
Minsk,848,494
Kiev,916,407
Vilna,789,519
Riga,768,592
Tallín,764,664
St.Petersburgo,846,699
Helsinki,770,695
Malmö,587,547
Estocolmo,666,658
Oslo,550,675
