Parada,Eje_x,Eje_y
Vigo,105,762
A Coruña,117,760
Bilbao,215,771
Madrid,184,849
Valladolid,176,813
Zaragoza,253,835
Barcelona,318,857
Lisboa,75,850
Andorra,313,820
Toulose,312,780
Bordeaux,276,741
Marseille,390,815
Lyon,387,740
Paris,354,640
Mónaco,436,810
Londres,329,550
Glasgow,292,400
Bruselas,406,588
Luxemburgo,418,623
Berna,445,715
Múnich,540,685
Cardiff,273,532
Mónaco,436,812
Milán,499,770
Roma,572,894
Venecia,543,775
Nápoles,622,935
Amsterdam,428,530
Colonia,457,571
Hamburgo,513,505
Copenhague,562,453
Berlín,588,551
Praga,597,625
Bratislava,657,690
Viena,634,676
Ljubljana,600,756
Zagreb,630,764
Sarajevo,682,821
Budapest,691,710
Varsovia,726,560
Belgrado,726,784
Skopje,758,878
Sofía,793,850
Bucarest,848,788
Tirana,718,896
Atenas,800,973
Kisinev,896,699
Minsk,848,506
Kiev,916,593
Vilna,789,481
Riga,768,408
Tallín,764,336
St.Petersburgo,846,301
Helsinki,770,305
Malmö,587,453
Estocolmo,666,342
Oslo,550,325
