"Vigo","A Coruña","128.14"
"Vigo","Lisboa","392.81"
"Vigo","Valladolid","336.88"
"A Coruña","Bilbao","442.87"
"Lisboa","Madrid","502.45"
"Valladolid","Madrid","161.87"
"Bilbao","Zaragoza","245.73"
"Madrid","Zaragoza","272.94"
"Zaragoza","Barcelona","256.64"
"Zaragoza","Andorra","220.01"
"Andorra","Barcelona","134.69"
"Andorra","Toulosse","121.63"
"Toulosse","Bordeaux","211.29"
"Toulosse","Marseille","318.70"
"Toulosse","Lyon","359.86"
"Bordeaux","Paris","498.43"
"Marseille","Mónaco","169.79"
"Mónaco","Lyon","301.65"
"Paris","Londres","343.08"
"Paris","Bruselas","263.98"
"Paris","Luxemburgo","287.03"
"Paris","Lyon","391.50"
"Berna","Múnich","336.80"
"Lyon","Berna","239.71"
"Londres","Glasgow","646.34"
"Londres","Cardiff","223.82"
"Mónaco","Milán","238.27"
"Milán","Roma","478.60"
"Milán","Venecia","245.34"
"Roma","Venecia","394.47"
"Roma","Nápoles","225.29"
"Bruselas","Amsterdam","173.48"
"Luxemburgo","Colonia","158.87"
"Amsterdam","Colonia","214.18"
"Bruselas","Colonia","183.39"
"Colonia","Múnich","455.83"
"Colonia","Hamburgo","356.60"
"Hamburgo","Copenhague","288.30"
"Hamburgo","Berlín","253.99"
"Múnich","Praga","299.84"
"Berlín","Praga","279.74"
"Praga","Bratislava","291.06"
"Bratislava","Viena","252.61"
"Venecia","Ljubljana","181.87"
"Ljubljana","Zagreb","116.93"
"Zagreb","Sarajevo","289.22"
"Viena","Budapest","214.15"
"Berlín","Varsovia","520.60"
"Budapest","Varsovia","546.29"
"Budapest","Belgrado","314.03"
"Sarajevo","Belgrado","194.81"
"Sarajevo","Skopje","322.54"
"Belgrado","Sofía","333.52"
"Belgrado","Bucarest","452.32"
"Skopje","Tirana","153.22"
"Skopje","Sofía","173.86"
"Sofía","Bucarest","295.73"
"Tirana","Atenas","499.81"
"Bucarest","Kisinev","354.12"
"Kiev","Kisinev","408.88"
"Kiev","Minsk","432.84"
"Varsovia","Minsk","471.65"
"Minsk","Vilna","172.11"
"Vilna","Riga","261.72"
"Riga","Tallín","279.53"
"Tallín","St.Petesburgo","317.36"
"St.Petesburgo","Helsinki","381.29"
"Malmö","Estocolmo","512.94"
"Malmö","Oslo","497.15"
"Malmö","Copenhague","39.40"
"Estocolmo","Oslo","416.34"
"Varsovia","Vilna","389.94"
"A Coruña","Vigo","128.14"
"Lisboa","Vigo","392.81"
"Valladolid","Vigo","336.88"
"Bilbao","A Coruña","442.87"
"Madrid","Lisboa","502.45"
"Madrid","Valladolid","161.87"
"Zaragoza","Bilbao","245.73"
"Zaragoza","Madrid","272.94"
"Barcelona","Zaragoza","256.64"
"Andorra","Zaragoza","220.01"
"Barcelona","Andorra","134.69"
"Toulosse","Andorra","121.63"
"Bordeaux","Toulosse","211.29"
"Marseille","Toulosse","318.70"
"Lyon","Toulosse","359.86"
"Paris","Bordeaux","498.43"
"Mónaco","Marseille","169.79"
"Lyon","Mónaco","301.65"
"Londres","Paris","343.08"
"Bruselas","Paris","263.98"
"Luxemburgo","Paris","287.03"
"Lyon","Paris","391.50"
"Múnich","Berna","336.80"
"Berna","Lyon","239.71"
"Glasgow","Londres","646.34"
"Cardiff","Londres","223.82"
"Milán","Mónaco","238.27"
"Roma","Milán","478.60"
"Venecia","Milán","245.34"
"Venecia","Roma","394.47"
"Nápoles","Roma","225.29"
"Amsterdam","Bruselas","173.48"
"Colonia","Luxemburgo","158.87"
"Colonia","Amsterdam","214.18"
"Colonia","Bruselas","183.39"
"Múnich","Colonia","455.83"
"Hamburgo","Colonia","356.60"
"Copenhague","Hamburgo","288.30"
"Berlín","Hamburgo","253.99"
"Praga","Múnich","299.84"
"Praga","Berlín","279.74"
"Bratislava","Praga","291.06"
"Viena","Bratislava","252.61"
"Ljubljana","Venecia","181.87"
"Zagreb","Ljubljana","116.93"
"Sarajevo","Zagreb","289.22"
"Budapest","Viena","214.15"
"Varsovia","Berlín","520.60"
"Varsovia","Budapest","546.29"
"Belgrado","Budapest","314.03"
"Belgrado","Sarajevo","194.81"
"Skopje","Sarajevo","322.54"
"Sofía","Belgrado","333.52"
"Bucarest","Belgrado","452.32"
"Tirana","Skopje","153.22"
"Sofía","Skopje","173.86"
"Bucarest","Sofía","295.73"
"Atenas","Tirana","499.81"
"Kisinev","Bucarest","354.12"
"Kisinev","Kiev","408.88"
"Minsk","Kiev","432.84"
"Minsk","Varsovia","471.65"
"Vilna","Minsk","172.11"
"Riga","Vilna","261.72"
"Tallín","Riga","279.53"
"St.Petesburgo","Tallín","317.36"
"Helsinki","St.Petesburgo","381.29"
"Estocolmo","Malmö","512.94"
"Oslo","Malmö","497.15"
"Copenhague","Malmö","39.40"
"Oslo","Estocolmo","416.34"
"Vilna","Varsovia","389.94"
